Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US17185,17185,"Wabash County, Illinois",11947,11947,11916,11793,11685,11673,11600,11626,11542,11550,11549
0500000US17187,17187,"Warren County, Illinois",17707,17710,17719,17839,17754,17670,17719,17466,17303,17170,17032
0500000US17189,17189,"Washington County, Illinois",14716,14716,14712,14574,14598,14413,14391,14262,14178,13951,13995
0500000US17191,17191,"Wayne County, Illinois",16760,16760,16738,16658,16655,16664,16593,16520,16549,16442,16332
0500000US17193,17193,"White County, Illinois",14665,14665,14600,14590,14523,14435,14267,14199,14070,13925,13665
0500000US17195,17195,"Whiteside County, Illinois",58498,58494,58478,58272,57760,57462,57019,56914,56472,55947,55626
0500000US17197,17197,"Will County, Illinois",677560,677560,678818,680799,682535,683873,685369,686142,688648,691017,692310
0500000US17199,17199,"Williamson County, Illinois",66357,66365,66432,66726,66774,67447,67410,67440,67480,67107,67056
0500000US17201,17201,"Winnebago County, Illinois",295266,295264,295088,293634,292112,290994,288775,287222,286054,284740,284081
0500000US17203,17203,"Woodford County, Illinois",38664,38664,38670,38849,38845,39035,39061,38939,38925,38699,38463
0500000US18001,18001,"Adams County, Indiana",34387,34387,34451,34374,34408,34654,34768,34958,35192,35422,35636
0500000US18003,18003,"Allen County, Indiana",355329,355335,355939,358919,360883,363384,365199,367543,369778,372210,375351
0500000US18005,18005,"Bartholomew County, Indiana",76794,76786,76820,77614,78999,79655,80499,81473,82313,82429,82753
0500000US18007,18007,"Benton County, Indiana",8854,8836,8863,8855,8820,8746,8718,8690,8656,8617,8653
0500000US18009,18009,"Blackford County, Indiana",12766,12766,12771,12654,12528,12458,12346,12237,12105,12027,11930
0500000US18011,18011,"Boone County, Indiana",56640,56638,56914,57905,59026,60342,61625,63028,64168,65786,66999
0500000US18013,18013,"Brown County, Indiana",15242,15245,15207,15075,15048,15055,14944,14995,15000,14999,15234
0500000US18015,18015,"Carroll County, Indiana",20155,20155,20194,20036,20106,20110,19949,19882,19960,20050,20127
0500000US18017,18017,"Cass County, Indiana",38966,38966,38980,38909,38769,38590,38495,38114,37953,37905,37955
0500000US18019,18019,"Clark County, Indiana",110232,110228,110572,111487,111857,112697,114047,114831,115598,116672,117360
0500000US18021,18021,"Clay County, Indiana",26890,26884,26851,26831,26784,26658,26424,26390,26200,26155,26170
0500000US18023,18023,"Clinton County, Indiana",33224,33219,33221,33032,32890,32773,32471,32381,32198,32207,32250
0500000US18025,18025,"Crawford County, Indiana",10713,10713,10710,10622,10670,10621,10670,10557,10582,10536,10558
0500000US18027,18027,"Daviess County, Indiana",31648,31654,31720,31948,32117,32282,32681,32811,32972,33074,33147
0500000US18029,18029,"Dearborn County, Indiana",50047,50033,50089,49985,49727,49740,49420,49453,49434,49629,49568
0500000US18031,18031,"Decatur County, Indiana",25740,25739,25798,25898,26041,26234,26414,26336,26562,26652,26794
0500000US18033,18033,"DeKalb County, Indiana",42223,42229,42309,42462,42297,42339,42398,42460,42612,42822,43226
0500000US18035,18035,"Delaware County, Indiana",117671,117664,117652,117878,117007,116817,116476,115765,115676,115389,114772
0500000US18037,18037,"Dubois County, Indiana",41889,41888,41906,42156,42080,42277,42297,42315,42421,42491,42565
0500000US18039,18039,"Elkhart County, Indiana",197559,197559,197444,198267,198980,200231,201476,203024,203652,204310,205560
0500000US18041,18041,"Fayette County, Indiana",24277,24301,24326,24150,23949,23829,23444,23393,23257,23153,23047
0500000US18043,18043,"Floyd County, Indiana",74578,74579,74710,74969,75254,76017,76097,76499,76697,76970,77781
0500000US18045,18045,"Fountain County, Indiana",17240,17240,17275,17153,17114,16880,16690,16531,16449,16410,16351
0500000US18047,18047,"Franklin County, Indiana",23087,23096,23057,23037,23030,22968,22981,22952,22804,22739,22736
0500000US18049,18049,"Fulton County, Indiana",20836,20853,20813,20730,20635,20447,20514,20332,20110,20010,20092
0500000US18051,18051,"Gibson County, Indiana",33503,33503,33545,33521,33527,33484,33723,33620,33562,33622,33452
0500000US18053,18053,"Grant County, Indiana",70061,70063,69906,69614,69083,68850,68336,67486,66680,66282,65936
0500000US18055,18055,"Greene County, Indiana",33165,33172,33205,33027,32940,32740,32644,32414,32229,32180,32006
0500000US18057,18057,"Hamilton County, Indiana",274569,274569,276509,283366,289772,296904,302839,308479,315990,323082,330086
0500000US18059,18059,"Hancock County, Indiana",70002,70043,70229,70340,70564,70964,71738,72392,73728,74940,76351
0500000US18061,18061,"Harrison County, Indiana",39364,39363,39328,39180,39004,38992,39167,39524,39666,39851,40350
0500000US18063,18063,"Hendricks County, Indiana",145448,145414,145912,148610,150691,153519,155812,157754,160369,163758,167009
0500000US18065,18065,"Henry County, Indiana",49462,49466,49530,49212,49111,48847,48889,48661,48348,48247,48271
0500000US18067,18067,"Howard County, Indiana",82752,82752,82755,82791,82833,82735,82602,82340,82317,82311,82366
0500000US18069,18069,"Huntington County, Indiana",37124,37123,37117,37164,36979,36779,36610,36514,36288,36239,36240
0500000US18071,18071,"Jackson County, Indiana",42376,42376,42586,42912,42984,43436,43703,43886,44004,43987,44111
0500000US18073,18073,"Jasper County, Indiana",33478,33481,33496,33423,33494,33426,33514,33487,33416,33459,33370
0500000US18075,18075,"Jay County, Indiana",21253,21253,21178,21330,21344,21266,21134,21136,21023,20907,20764
0500000US18077,18077,"Jefferson County, Indiana",32428,32404,32401,32275,32442,32396,32403,32298,32230,32047,32208
0500000US18079,18079,"Jennings County, Indiana",28525,28529,28482,28152,28142,28225,27915,27829,27642,27638,27611
0500000US18081,18081,"Johnson County, Indiana",139654,139857,140272,141726,143479,145416,147103,148994,151575,153922,156225
0500000US18083,18083,"Knox County, Indiana",38440,38440,38393,38470,37975,38055,37961,37763,37331,37094,36895
0500000US18085,18085,"Kosciusko County, Indiana",77358,77354,77341,77347,77605,77870,78382,78553,78742,79010,79344
0500000US18087,18087,"LaGrange County, Indiana",37128,37130,37158,37463,37658,38088,38435,38614,39109,39222,39330
0500000US18089,18089,"Lake County, Indiana",496005,496095,495939,494888,493387,491768,490973,487895,486199,484766,484411
0500000US18091,18091,"LaPorte County, Indiana",111467,111463,111455,111299,111296,111421,111737,110853,110254,109911,110007
0500000US18093,18093,"Lawrence County, Indiana",46134,46129,46102,46135,46112,45893,45648,45567,45588,45625,45668
0500000US18095,18095,"Madison County, Indiana",131636,131639,131619,130994,130190,130300,129744,129383,129297,129460,129641
0500000US18097,18097,"Marion County, Indiana",903393,903389,904602,911188,919700,929345,935449,939406,944139,948952,954670
0500000US18099,18099,"Marshall County, Indiana",47051,47050,46999,46935,46944,46919,46929,46740,46600,46460,46248
0500000US18101,18101,"Martin County, Indiana",10334,10380,10359,10335,10316,10233,10238,10217,10191,10186,10217
0500000US18103,18103,"Miami County, Indiana",36903,36905,36810,36645,36534,36165,36071,36001,36041,35827,35567
0500000US18105,18105,"Monroe County, Indiana",137974,137959,138560,140209,141473,142066,143410,144220,145748,146720,146917
0500000US18107,18107,"Montgomery County, Indiana",38124,38121,38097,38332,38173,38135,38144,38242,38249,38397,38346
0500000US18109,18109,"Morgan County, Indiana",68894,68943,69154,69244,69192,69361,69515,69565,69628,69810,70116
0500000US18111,18111,"Newton County, Indiana",14244,14239,14234,14084,14042,14025,14086,13968,13985,14041,14011
0500000US18113,18113,"Noble County, Indiana",47536,47540,47455,47298,47197,47253,47380,47531,47426,47384,47532
0500000US18115,18115,"Ohio County, Indiana",6128,6107,6095,6061,6063,5995,5966,5887,5892,5845,5844
0500000US18117,18117,"Orange County, Indiana",19840,19838,19806,19933,19736,19825,19761,19621,19460,19404,19489
0500000US18119,18119,"Owen County, Indiana",21575,21577,21570,21490,21369,21157,21023,20830,20901,20793,20845
0500000US18121,18121,"Parke County, Indiana",17339,17354,17281,17087,17124,17242,17241,16969,16939,16903,16927
0500000US18123,18123,"Perry County, Indiana",19338,19338,19410,19421,19370,19417,19332,19307,18977,18988,19102
0500000US18125,18125,"Pike County, Indiana",12845,12710,12729,12604,12626,12503,12500,12413,12398,12332,12410
0500000US18127,18127,"Porter County, Indiana",164343,164302,164500,165507,165713,166489,167182,167365,167522,168544,169594
0500000US18129,18129,"Posey County, Indiana",25910,25910,25859,25690,25612,25557,25596,25608,25634,25566,25540
0500000US18131,18131,"Pulaski County, Indiana",13402,13386,13326,13230,13011,12941,12918,12796,12598,12518,12469
0500000US18133,18133,"Putnam County, Indiana",37963,37952,37914,37908,37720,37592,37673,37484,37251,37610,37779
0500000US18135,18135,"Randolph County, Indiana",26171,26176,26178,26029,25856,25617,25329,25134,25110,24954,24851
0500000US18137,18137,"Ripley County, Indiana",28818,28814,28816,28642,28446,28296,28341,28377,28398,28485,28523
0500000US18139,18139,"Rush County, Indiana",17392,17392,17384,17283,17107,16996,16845,16710,16642,16659,16663
0500000US18141,18141,"St. Joseph County, Indiana",266931,266925,266809,266696,266496,266984,267749,268203,269484,269994,270771
0500000US18143,18143,"Scott County, Indiana",24181,24187,24164,23897,23715,23747,23629,23657,23699,23853,23878
0500000US18145,18145,"Shelby County, Indiana",44436,44396,44315,44290,44271,44351,44374,44364,44259,44404,44593
0500000US18147,18147,"Spencer County, Indiana",20952,20952,20912,20964,20780,20759,20758,20639,20491,20417,20327
0500000US18149,18149,"Starke County, Indiana",23363,23362,23345,23167,23156,23138,22953,22857,23015,22944,22935
0500000US18151,18151,"Steuben County, Indiana",34185,34173,34136,34091,34182,34397,34517,34491,34354,34421,34586
0500000US18153,18153,"Sullivan County, Indiana",21475,21475,21389,21216,21202,21137,20993,20870,20709,20699,20690
0500000US18155,18155,"Switzerland County, Indiana",10613,10666,10696,10610,10441,10576,10543,10589,10615,10674,10717
0500000US18157,18157,"Tippecanoe County, Indiana",172780,172803,173102,175858,179134,181977,184466,186783,190504,191670,193048
0500000US18159,18159,"Tipton County, Indiana",15936,15936,15878,15815,15659,15545,15406,15252,15167,15139,15128
0500000US18161,18161,"Union County, Indiana",7516,7516,7537,7495,7352,7307,7241,7185,7140,7162,7037
0500000US18163,18163,"Vanderburgh County, Indiana",179703,179703,179842,180450,181031,181581,181935,181449,181306,180900,180974
0500000US18165,18165,"Vermillion County, Indiana",16212,16210,16116,16069,15923,15853,15658,15592,15586,15487,15479
0500000US18167,18167,"Vigo County, Indiana",107848,107848,107883,108343,108568,108242,107960,107586,107851,107681,107386
0500000US18169,18169,"Wabash County, Indiana",32888,32888,32848,32563,32385,32270,32101,31859,31504,31410,31280
0500000US18171,18171,"Warren County, Indiana",8508,8511,8521,8469,8391,8369,8339,8270,8164,8198,8263
0500000US18173,18173,"Warrick County, Indiana",59689,59689,59841,60196,60347,60853,60959,61545,62066,62505,62567
0500000US18175,18175,"Washington County, Indiana",28262,28262,28300,28201,27919,27785,27892,27779,27734,27788,27943
0500000US18177,18177,"Wayne County, Indiana",68917,68996,68890,68628,68221,67783,67377,66965,66609,66178,65936
0500000US18179,18179,"Wells County, Indiana",27636,27637,27681,27735,27706,27716,27816,27847,27854,28014,28206
0500000US18181,18181,"White County, Indiana",24643,24643,24687,24595,24469,24404,24436,24278,24075,24165,24133
0500000US18183,18183,"Whitley County, Indiana",33292,33290,33356,33357,33337,33286,33447,33453,33493,33777,34074
0500000US19001,19001,"Adair County, Iowa",7682,7682,7679,7546,7468,7387,7367,7141,6998,7053,7063
0500000US19003,19003,"Adams County, Iowa",4029,4029,4023,3994,3909,3892,3877,3753,3692,3663,3645
0500000US19005,19005,"Allamakee County, Iowa",14330,14328,14379,14219,14147,14064,14058,13858,13850,13804,13832
0500000US19007,19007,"Appanoose County, Iowa",12887,12887,12856,12847,12707,12653,12671,12572,12505,12363,12437
0500000US19009,19009,"Audubon County, Iowa",6119,6119,6098,6003,5865,5863,5771,5713,5629,5566,5506
0500000US19011,19011,"Benton County, Iowa",26076,26069,26046,26075,25825,25696,25622,25601,25633,25633,25642
0500000US19013,19013,"Black Hawk County, Iowa",131090,131090,131165,131572,131872,132934,133403,133711,133116,132409,132408
0500000US19015,19015,"Boone County, Iowa",26306,26308,26274,26289,26141,26291,26296,26453,26426,26476,26346
0500000US19017,19017,"Bremer County, Iowa",24276,24276,24295,24378,24494,24575,24665,24740,24737,24822,24947
0500000US19019,19019,"Buchanan County, Iowa",20958,20958,20978,20914,21000,21034,21139,21115,21018,21156,21199
0500000US19021,19021,"Buena Vista County, Iowa",20260,20265,20355,20311,20564,20663,20622,20381,20322,20102,19874
0500000US19023,19023,"Butler County, Iowa",14867,14869,14921,14970,14976,14980,14963,14886,14705,14582,14539
0500000US19025,19025,"Calhoun County, Iowa",9670,10177,10160,10063,9913,9899,9845,9800,9808,9749,9699
0500000US19027,19027,"Carroll County, Iowa",20816,20816,20823,20857,20655,20542,20498,20419,20377,20273,20154
0500000US19029,19029,"Cass County, Iowa",13956,13952,13929,13765,13699,13569,13392,13345,13161,13126,12930
0500000US19031,19031,"Cedar County, Iowa",18499,18495,18504,18408,18346,18277,18328,18308,18410,18551,18627
0500000US19033,19033,"Cerro Gordo County, Iowa",44151,44151,44096,43966,43697,43527,43206,42983,43088,42997,42647
0500000US19035,19035,"Cherokee County, Iowa",12072,12067,12109,12023,11951,11874,11802,11487,11402,11330,11321
0500000US19037,19037,"Chickasaw County, Iowa",12439,12442,12410,12404,12285,12272,12250,12149,12096,12036,11964
